,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
295,frozenset({'XEM'}),"frozenset({'CAKE', 'SAND'})",0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
296,frozenset({'CAKE'}),"frozenset({'SAND', 'XEM'})",0.25,0.125,0.08333333333333333,0.3333333333333333,2.6666666666666665
297,frozenset({'SAND'}),"frozenset({'CAKE', 'XEM'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
298,"frozenset({'HIGH', 'WRX'})",frozenset({'COTI'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0
299,"frozenset({'COTI', 'WRX'})",frozenset({'HIGH'}),0.16666666666666666,0.125,0.08333333333333333,0.5,4.0
300,frozenset({'HIGH'}),"frozenset({'COTI', 'WRX'})",0.125,0.16666666666666666,0.08333333333333333,0.6666666666666666,4.0
301,frozenset({'COTI'}),"frozenset({'HIGH', 'WRX'})",0.3333333333333333,0.08333333333333333,0.08333333333333333,0.25,3.0
302,"frozenset({'XRP', 'COTI'})",frozenset({'SAND'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
303,"frozenset({'XRP', 'SAND'})",frozenset({'COTI'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0
304,frozenset({'COTI'}),"frozenset({'XRP', 'SAND'})",0.3333333333333333,0.08333333333333333,0.08333333333333333,0.25,3.0
305,frozenset({'SAND'}),"frozenset({'XRP', 'COTI'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
306,"frozenset({'VET', 'DOGE'})",frozenset({'SAND'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
307,"frozenset({'VET', 'SAND'})",frozenset({'DOGE'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0
308,"frozenset({'DOGE', 'SAND'})",frozenset({'VET'}),0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0
309,frozenset({'VET'}),"frozenset({'DOGE', 'SAND'})",0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0
310,frozenset({'DOGE'}),"frozenset({'VET', 'SAND'})",0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,6.0
311,frozenset({'SAND'}),"frozenset({'VET', 'DOGE'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
312,"frozenset({'DOGE', 'XRP'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
313,"frozenset({'DOGE', 'WRX'})",frozenset({'XRP'}),0.125,0.375,0.08333333333333333,0.6666666666666666,1.7777777777777777
314,"frozenset({'XRP', 'WRX'})",frozenset({'DOGE'}),0.25,0.16666666666666666,0.08333333333333333,0.3333333333333333,2.0
315,frozenset({'DOGE'}),"frozenset({'XRP', 'WRX'})",0.16666666666666666,0.25,0.08333333333333333,0.5,2.0
316,frozenset({'XRP'}),"frozenset({'DOGE', 'WRX'})",0.375,0.125,0.08333333333333333,0.2222222222222222,1.7777777777777777
317,frozenset({'WRX'}),"frozenset({'DOGE', 'XRP'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
318,"frozenset({'ETH', 'DOT'})",frozenset({'ENJ'}),0.125,0.25,0.08333333333333333,0.6666666666666666,2.6666666666666665
319,"frozenset({'ETH', 'ENJ'})",frozenset({'DOT'}),0.125,0.20833333333333334,0.08333333333333333,0.6666666666666666,3.1999999999999997
320,"frozenset({'DOT', 'ENJ'})",frozenset({'ETH'}),0.08333333333333333,0.2916666666666667,0.08333333333333333,1.0,3.4285714285714284
321,frozenset({'ETH'}),"frozenset({'DOT', 'ENJ'})",0.2916666666666667,0.08333333333333333,0.08333333333333333,0.2857142857142857,3.4285714285714284
322,frozenset({'DOT'}),"frozenset({'ETH', 'ENJ'})",0.20833333333333334,0.125,0.08333333333333333,0.39999999999999997,3.1999999999999997
323,frozenset({'ENJ'}),"frozenset({'ETH', 'DOT'})",0.25,0.125,0.08333333333333333,0.3333333333333333,2.6666666666666665
324,"frozenset({'ETH', 'WRX'})",frozenset({'DOT'}),0.16666666666666666,0.20833333333333334,0.08333333333333333,0.5,2.4
325,"frozenset({'DOT', 'WRX'})",frozenset({'ETH'}),0.125,0.2916666666666667,0.08333333333333333,0.6666666666666666,2.2857142857142856
326,frozenset({'ETH'}),"frozenset({'DOT', 'WRX'})",0.2916666666666667,0.125,0.08333333333333333,0.2857142857142857,2.2857142857142856
327,frozenset({'DOT'}),"frozenset({'ETH', 'WRX'})",0.20833333333333334,0.16666666666666666,0.08333333333333333,0.39999999999999997,2.4
328,"frozenset({'TRX', 'DOT'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
329,"frozenset({'TRX', 'WRX'})",frozenset({'DOT'}),0.125,0.20833333333333334,0.08333333333333333,0.6666666666666666,3.1999999999999997
330,"frozenset({'DOT', 'WRX'})",frozenset({'TRX'}),0.125,0.20833333333333334,0.08333333333333333,0.6666666666666666,3.1999999999999997
331,frozenset({'TRX'}),"frozenset({'DOT', 'WRX'})",0.20833333333333334,0.125,0.08333333333333333,0.39999999999999997,3.1999999999999997
332,frozenset({'DOT'}),"frozenset({'TRX', 'WRX'})",0.20833333333333334,0.125,0.08333333333333333,0.39999999999999997,3.1999999999999997
333,frozenset({'WRX'}),"frozenset({'TRX', 'DOT'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
334,"frozenset({'LTC', 'XRP'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
335,"frozenset({'LTC', 'WRX'})",frozenset({'XRP'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
336,"frozenset({'XRP', 'WRX'})",frozenset({'LTC'}),0.25,0.16666666666666666,0.08333333333333333,0.3333333333333333,2.0
337,frozenset({'LTC'}),"frozenset({'XRP', 'WRX'})",0.16666666666666666,0.25,0.08333333333333333,0.5,2.0
338,frozenset({'XRP'}),"frozenset({'LTC', 'WRX'})",0.375,0.08333333333333333,0.08333333333333333,0.2222222222222222,2.6666666666666665
